iso3,country,region,year,hdi,GNI_pc,population,HDI_category
NPL,Nepal,SA,2008,0.526,2889.766455,26990037.0,Low
PAK,Pakistan,SA,2008,0.496,4232.545717,189499113.0,Low
LKA,Sri Lanka,SA,2008,0.73,8852.521419,20629378.0,High
TUR,Türkiye,ECA,2008,0.721,19789.44179,71562338.5,High
BGD,Bangladesh,SA,2009,0.551,3762.028557,150873714.0,Medium
BTN,Bhutan,SA,2009,,8560.122376,693988.0,Low
CHN,China,EAP,2009,0.7,9309.810866,1342522716.0,High
IND,India,SA,2009,0.579,4716.353012,1225524753.0,Medium
KGZ,Kyrgyzstan,ECA,2009,0.669,4882.237408,5398007.5,Medium
NPL,Nepal,SA,2009,0.538,3010.698327,27173034.5,Low
PAK,Pakistan,SA,2009,0.497,4265.55767,194376534.0,Low
LKA,Sri Lanka,SA,2009,0.723,9174.44782,20756435.0,High
TUR,Türkiye,ECA,2009,0.728,18573.01783,72464848.0,High
BGD,Bangladesh,SA,2010,0.561,4011.007432,152201981.5,Medium
BTN,Bhutan,SA,2010,0.593,9329.549607,701632.0,Medium
CHN,China,EAP,2010,0.71,10222.51319,1351561514.0,High
IND,India,SA,2010,0.59,5022.132083,1243481564.0,Medium
KGZ,Kyrgyzstan,ECA,2010,0.668,4624.097281,5491760.5,Medium
NPL,Nepal,SA,2010,0.551,3128.088376,27341952.5,Medium
PAK,Pakistan,SA,2010,0.5,4262.245435,199239047.0,Low
LKA,Sri Lanka,SA,2010,0.748,9851.77153,20879089.0,High
TUR,Türkiye,ECA,2010,0.75,19980.85583,73346769.0,High
BGD,Bangladesh,SA,2011,0.572,4297.115389,153591075.5,Medium
BTN,Bhutan,SA,2011,0.603,9929.704646,709377.0,Medium
CHN,China,EAP,2011,0.717,11080.47141,1360250665.0,High
IND,India,SA,2011,0.603,5224.30683,1261224955.0,Medium
KGZ,Kyrgyzstan,ECA,2011,0.67,4619.638788,5594535.0,Medium
NPL,Nepal,SA,2011,0.559,3214.469913,27464494.0,Medium
PAK,Pakistan,SA,2011,0.504,4300.528341,203746064.5,Low
LKA,Sri Lanka,SA,2011,0.753,10667.91644,21009048.0,High
TUR,Türkiye,ECA,2011,0.764,21936.36812,74215203.0,High
BGD,Bangladesh,SA,2012,0.583,4634.890643,155070101.5,Medium
BTN,Bhutan,SA,2012,0.609,10166.59806,717279.5,Medium
CHN,China,EAP,2012,0.725,11957.04078,1369520865.0,High
IND,India,SA,2012,0.609,5420.181423,1278674503.0,Medium
KGZ,Kyrgyzstan,ECA,2012,0.679,4929.945533,5696519.0,Medium
NPL,Nepal,SA,2012,0.565,3363.765452,27534915.0,Medium
PAK,Pakistan,SA,2012,0.508,4353.056214,207667124.5,Low
LKA,Sri Lanka,SA,2012,0.759,11567.30022,21169458.0,High
TUR,Türkiye,ECA,2012,0.772,22708.63254,75197198.5,High
BGD,Bangladesh,SA,2013,0.589,4932.186405,156532140.5,Medium
BTN,Bhutan,SA,2013,0.616,10324.26436,725273.0,Medium
CHN,China,EAP,2013,0.733,12724.80478,1379008041.0,High
IND,India,SA,2013,0.615,5687.828662,1295829511.0,Medium
KGZ,Kyrgyzstan,ECA,2013,0.686,5208.491158,5797289.5,Medium
NPL,Nepal,SA,2013,0.57,3474.564017,27589996.0,Medium
PAK,Pakistan,SA,2013,0.512,4468.532718,211073978.5,Low
LKA,Sri Lanka,SA,2013,0.764,11848.21093,21358827.0,High
TUR,Türkiye,ECA,2013,0.802,24210.0225,76403031.0,Very High
BGD,Bangladesh,SA,2014,0.6,5205.479375,157964928.5,Medium
BTN,Bhutan,SA,2014,0.626,10781.65184,733139.5,Medium
CHN,China,EAP,2014,0.742,13714.12598,1387951972.0,High
IND,India,SA,2014,0.625,6037.901703,1312277192.0,Medium
KGZ,Kyrgyzstan,ECA,2014,0.691,5390.566675,5898319.5,Medium
NPL,Nepal,SA,2014,0.574,3701.313402,27672369.5,Medium
PAK,Pakistan,SA,2014,0.522,4585.480401,214264646.5,Low
